,mpg
352,17.0
16,36.0
288,17.5
281,19.0
201,29.0
144,18.0
283,22.0
329,27.5
254,19.2
154,15.0
73,12.0
297,16.2
273,25.0
220,13.0
209,19.4
243,29.8
37,18.1
55,30.9
361,26.0
142,19.2
56,20.0
115,17.0
15,13.0
40,35.1
336,27.0
261,12.0
339,28.0
102,25.5
269,16.0
24,23.0
203,34.0
186,16.5
356,18.0
298,39.4
81,31.0
351,19.0
376,37.3
268,10.0
134,18.5
307,38.0
31,15.0
83,21.5
255,37.0
191,21.6
263,18.2
66,13.0
271,16.9
61,19.0
245,20.6
98,18.0
333,16.0
128,20.0
107,26.6
27,24.0
153,24.0
105,24.0
230,15.0
114,24.0
353,28.0
328,16.0
279,16.0
84,29.0
210,32.0
371,22.3
137,44.3
239,43.1
259,18.0
373,19.2
127,16.0
130,14.0
82,27.2
53,28.4
340,14.0
241,40.8
10,44.0
126,26.0
74,24.2
190,14.0
221,28.0
