,mpg
0,18.0
1,9.0
2,36.1
3,18.5
4,34.3
5,32.9
6,32.2
7,22.0
8,15.0
9,17.0
10,44.0
11,24.5
12,32.0
13,14.0
14,15.0
15,13.0
16,36.0
17,31.0
18,32.0
19,21.5
20,19.0
21,17.0
22,16.0
23,15.0
24,23.0
25,26.0
26,32.0
27,24.0
28,21.0
29,31.3
30,32.7
31,15.0
32,23.0
33,17.6
34,28.0
35,24.0
36,14.0
37,18.1
38,36.0
39,29.0
40,35.1
41,36.0
42,16.5
43,16.0
44,29.9
45,31.0
46,27.2
47,14.0
48,32.1
49,15.0
50,12.0
51,17.6
52,25.0
53,28.4
54,29.0
55,30.9
56,20.0
57,20.8
58,22.0
59,38.0
60,31.0
61,19.0
62,16.0
63,25.0
64,22.0
65,26.0
66,13.0
67,19.9
68,11.0
69,28.0
70,15.5
71,26.0
72,14.0
73,12.0
74,24.2
75,25.0
76,22.5
77,26.8
78,23.0
79,26.0
80,30.7
81,31.0
82,27.2
83,21.5
84,29.0
85,20.0
86,13.0
87,14.0
88,38.0
89,13.0
90,24.5
91,13.0
92,25.0
93,24.0
94,34.1
95,13.0
96,44.6
97,20.5
98,18.0
99,23.2
100,20.0
101,24.0
102,25.5
103,36.1
104,23.0
105,24.0
106,18.0
107,26.6
108,32.0
109,20.3
110,27.0
111,17.0
112,21.0
113,13.0
114,24.0
115,17.0
116,39.1
117,14.5
118,13.0
119,20.2
120,27.0
121,35.0
122,15.0
123,36.4
124,30.0
125,31.9
126,26.0
127,16.0
128,20.0
129,18.6
130,14.0
131,25.0
132,33.0
133,14.0
134,18.5
135,37.2
136,18.0
137,44.3
138,18.0
139,28.0
140,43.4
141,20.6
142,19.2
143,26.4
144,18.0
145,28.0
146,26.0
147,13.0
148,25.8
149,28.1
150,13.0
151,16.5
152,31.5
153,24.0
154,15.0
155,18.0
156,33.5
157,32.4
158,27.0
159,13.0
160,31.0
161,28.0
162,27.2
163,21.0
164,19.0
165,25.0
166,23.0
167,19.0
168,15.5
169,23.9
170,22.0
171,29.0
172,14.0
173,15.0
174,27.0
175,15.0
176,30.5
177,25.0
178,17.5
179,34.0
180,38.0
181,30.0
182,19.8
183,25.0
184,21.0
185,26.0
186,16.5
187,18.1
188,46.6
189,21.5
190,14.0
191,21.6
192,15.5
193,20.5
194,23.9
195,12.0
196,20.2
197,34.4
198,23.0
199,24.3
200,19.0
201,29.0
202,23.5
203,34.0
204,37.0
205,33.0
206,18.0
207,15.0
208,34.7
209,19.4
210,32.0
211,34.1
212,33.7
213,20.0
214,15.0
215,38.1
216,26.0
217,27.0
218,16.0
219,17.0
220,13.0
221,28.0
222,14.0
223,31.5
224,34.5
225,11.0
226,16.0
227,31.6
228,19.1
229,18.5
230,15.0
231,18.0
232,35.0
233,20.2
234,13.0
235,31.0
236,22.0
237,11.0
238,33.5
239,43.1
240,25.4
241,40.8
242,14.0
243,29.8
244,16.0
245,20.6
246,18.0
247,33.0
248,31.8
249,13.0
250,20.0
251,32.0
252,13.0
253,23.7
254,19.2
255,37.0
256,18.0
257,19.0
258,32.3
259,18.0
260,13.0
261,12.0
262,36.0
263,18.2
264,19.0
265,30.0
266,15.0
267,11.0
268,10.0
269,16.0
270,14.0
271,16.9
272,13.0
273,25.0
274,21.0
275,21.1
276,26.0
277,28.0
278,29.0
279,16.0
280,26.6
281,19.0
282,32.8
283,22.0
284,19.0
285,31.0
286,23.0
287,29.5
288,17.5
289,19.0
290,24.0
291,14.0
292,28.0
293,21.0
294,22.4
295,36.0
296,18.0
297,16.2
298,39.4
299,30.0
300,18.0
301,17.5
302,28.8
303,22.0
304,34.2
305,30.5
306,16.0
307,38.0
308,41.5
309,27.9
310,22.0
311,29.8
312,17.7
313,15.0
314,14.0
315,15.5
316,17.5
317,12.0
318,29.0
319,15.5
320,35.7
321,26.0
322,30.0
323,33.8
324,18.0
325,13.0
326,20.0
327,32.4
328,16.0
329,27.5
330,23.0
331,14.0
332,17.0
333,16.0
334,23.0
335,24.0
336,27.0
337,15.0
338,27.0
339,28.0
340,14.0
341,33.5
342,39.0
343,24.0
344,26.5
345,19.4
346,15.0
347,25.5
348,14.0
349,27.4
350,13.0
351,19.0
352,17.0
353,28.0
354,22.0
355,30.0
356,18.0
357,14.0
358,22.0
359,23.8
360,24.0
361,26.0
362,26.0
363,30.0
364,29.0
365,14.0
366,25.4
367,19.0
368,12.0
369,20.0
370,27.0
371,22.3
372,10.0
373,19.2
374,26.0
375,16.0
376,37.3
377,26.0
378,20.2
379,13.0
380,21.0
381,25.0
382,20.5
383,37.7
384,36.0
385,20.0
386,37.0
387,18.0
388,27.0
389,29.5
390,17.5
391,25.1
