,displ,hp,weight,accel,size,origin_Asia,origin_Europe,origin_US
0,250.0,88,3139,14.5,15.0,0,0,1
1,304.0,193,4732,18.5,20.0,0,0,1
2,91.0,60,1800,16.4,10.0,1,0,0
3,250.0,98,3525,19.0,15.0,0,0,1
4,97.0,78,2188,15.8,10.0,0,1,0
5,119.0,100,2615,14.8,10.0,1,0,0
6,108.0,75,2265,15.2,10.0,1,0,0
7,121.0,76,2511,18.0,10.0,0,1,0
8,302.0,130,4295,14.9,20.0,0,0,1
9,302.0,140,3449,10.5,20.0,0,0,1
10,97.0,52,2130,24.6,10.0,0,1,0
11,151.0,88,2740,16.0,10.0,0,0,1
12,135.0,84,2295,11.6,10.0,0,0,1
13,351.0,148,4657,13.5,20.0,0,0,1
14,400.0,150,3761,9.5,20.0,0,0,1
15,307.0,130,4098,14.0,20.0,0,0,1
16,79.0,58,1825,18.6,10.0,0,1,0
17,119.0,82,2720,19.4,10.0,0,0,1
18,71.0,65,1836,21.0,10.0,1,0,0
19,80.0,110,2720,13.5,7.5,1,0,0
20,225.0,95,3264,16.0,15.0,0,0,1
21,231.0,110,3907,21.0,15.0,0,0,1
22,302.0,140,4141,14.0,20.0,0,0,1
23,383.0,170,3563,10.0,20.0,0,0,1
24,140.0,78,2592,18.5,10.0,0,0,1
25,98.0,90,2265,15.5,10.0,0,1,0
26,144.0,96,2665,13.9,10.0,1,0,0
27,113.0,95,2372,15.0,10.0,1,0,0
28,231.0,110,3039,15.0,15.0,0,0,1
29,120.0,75,2542,17.5,10.0,1,0,0
30,168.0,132,2910,11.4,15.0,1,0,0
31,304.0,150,3892,12.5,20.0,0,0,1
32,140.0,83,2639,17.0,10.0,0,0,1
33,225.0,85,3465,16.6,15.0,0,0,1
34,107.0,86,2464,15.5,10.0,0,1,0
35,116.0,75,2158,15.5,10.0,0,1,0
36,302.0,140,4638,16.0,20.0,0,0,1
37,302.0,139,3205,11.2,20.0,0,0,1
38,98.0,70,2125,17.3,10.0,0,0,1
39,85.0,52,2035,22.2,10.0,0,0,1
40,81.0,60,1760,16.1,10.0,1,0,0
41,135.0,84,2370,13.0,10.0,0,0,1
42,351.0,138,3955,13.2,20.0,0,0,1
43,400.0,180,4220,11.1,20.0,0,0,1
44,98.0,65,2380,20.7,10.0,0,0,1
45,79.0,67,1950,19.0,10.0,1,0,0
46,119.0,97,2300,14.7,10.0,1,0,0
47,318.0,150,4457,13.5,20.0,0,0,1
48,98.0,70,2120,15.5,10.0,0,0,1
49,250.0,100,3336,17.0,15.0,0,0,1
50,383.0,180,4955,11.5,20.0,0,0,1
51,302.0,129,3725,13.4,20.0,0,0,1
52,113.0,95,2228,14.0,10.0,1,0,0
53,151.0,90,2670,16.0,10.0,0,0,1
54,98.0,83,2219,16.5,10.0,0,1,0
55,105.0,75,2230,14.5,10.0,0,0,1
56,232.0,100,2914,16.0,15.0,0,0,1
57,200.0,85,3070,16.7,15.0,0,0,1
58,232.0,112,2835,14.7,15.0,0,0,1
59,91.0,67,1965,15.0,10.0,1,0,0
60,71.0,65,1773,19.0,10.0,1,0,0
61,250.0,88,3302,15.5,15.0,0,0,1
62,250.0,100,3781,17.0,15.0,0,0,1
63,140.0,75,2542,17.0,10.0,0,0,1
64,225.0,100,3233,15.4,15.0,0,0,1
65,91.0,70,1955,20.5,10.0,0,0,1
66,350.0,145,4055,12.0,20.0,0,0,1
67,260.0,110,3365,15.5,20.0,0,0,1
68,318.0,210,4382,13.5,20.0,0,0,1
69,98.0,80,2164,15.0,10.0,0,0,1
70,318.0,145,4140,13.7,20.0,0,0,1
71,96.0,69,2189,18.0,10.0,0,1,0
72,318.0,150,4237,14.5,20.0,0,0,1
73,429.0,198,4952,11.5,20.0,0,0,1
74,146.0,120,2930,13.8,15.0,1,0,0
75,140.0,92,2572,14.9,10.0,0,0,1
76,232.0,90,3085,17.6,15.0,0,0,1
77,173.0,115,2700,12.9,15.0,0,0,1
78,198.0,95,2904,16.0,15.0,0,0,1
79,116.0,75,2246,14.0,10.0,0,1,0
80,145.0,76,3160,19.6,15.0,0,1,0
81,79.0,67,2000,16.0,10.0,0,1,0
82,141.0,71,3190,24.8,10.0,0,1,0
83,231.0,115,3245,15.4,15.0,0,0,1
84,135.0,84,2525,16.0,10.0,0,0,1
85,114.0,91,2582,14.0,10.0,0,1,0
86,350.0,150,4699,14.5,20.0,0,0,1
87,440.0,215,4312,8.5,20.0,0,0,1
88,91.0,67,1995,16.2,10.0,1,0,0
89,400.0,175,5140,12.0,20.0,0,0,1
90,98.0,60,2164,22.1,10.0,0,0,1
91,350.0,175,4100,13.0,20.0,0,0,1
92,181.0,110,2945,16.4,15.0,0,0,1
93,113.0,95,2278,15.5,10.0,1,0,0
94,91.0,68,1985,16.0,10.0,1,0,0
95,400.0,150,4464,12.0,20.0,0,0,1
96,91.0,67,1850,13.8,10.0,1,0,0
97,200.0,95,3155,18.2,15.0,0,0,1
98,258.0,110,2962,13.5,15.0,0,0,1
99,156.0,105,2745,16.7,10.0,0,0,1
100,130.0,102,3150,15.7,10.0,0,1,0
101,121.0,110,2660,14.0,10.0,0,1,0
102,140.0,89,2755,15.8,10.0,0,0,1
103,98.0,66,1800,14.4,10.0,0,0,1
104,120.0,88,2957,17.0,10.0,0,1,0
105,90.0,75,2108,15.5,10.0,0,1,0
106,250.0,78,3574,21.0,15.0,0,0,1
107,350.0,105,3725,19.0,20.0,0,0,1
108,85.0,70,1990,17.0,10.0,1,0,0
109,131.0,103,2830,15.9,12.5,0,1,0
110,97.0,60,1834,19.0,10.0,0,1,0
111,304.0,150,3672,11.5,20.0,0,0,1
112,140.0,72,2401,19.5,10.0,0,0,1
113,400.0,170,4746,12.0,20.0,0,0,1
114,107.0,90,2430,14.5,10.0,0,1,0
115,260.0,110,4060,19.0,20.0,0,0,1
116,79.0,58,1755,16.9,10.0,1,0,0
117,351.0,152,4215,12.8,20.0,0,0,1
118,350.0,145,3988,13.0,20.0,0,0,1
119,302.0,139,3570,12.8,20.0,0,0,1
120,101.0,83,2202,15.3,10.0,0,1,0
121,72.0,69,1613,18.0,10.0,1,0,0
122,318.0,150,3777,12.5,20.0,0,0,1
123,121.0,67,2950,19.9,12.5,0,1,0
124,111.0,80,2155,14.8,10.0,0,0,1
125,89.0,71,1925,14.0,10.0,0,1,0
126,97.0,46,1835,20.5,10.0,0,1,0
127,225.0,105,3439,15.5,15.0,0,0,1
128,140.0,90,2408,19.5,10.0,0,0,1
129,225.0,110,3620,18.7,15.0,0,0,1
130,400.0,175,4464,11.5,20.0,0,0,1
131,97.5,80,2126,17.0,10.0,0,0,1
132,105.0,74,2190,14.2,10.0,0,1,0
133,318.0,150,4096,13.0,20.0,0,0,1
134,360.0,150,3940,13.0,20.0,0,0,1
135,86.0,65,2019,16.4,10.0,1,0,0
136,232.0,100,3288,15.5,15.0,0,0,1
137,90.0,48,2085,21.7,10.0,0,1,0
138,250.0,105,3459,16.0,15.0,0,0,1
139,140.0,90,2264,15.5,10.0,0,0,1
140,90.0,48,2335,23.7,10.0,0,1,0
141,231.0,105,3380,15.8,15.0,0,0,1
142,231.0,105,3535,19.2,15.0,0,0,1
143,140.0,88,2870,18.1,10.0,0,0,1
144,232.0,100,2945,16.0,15.0,0,0,1
145,97.0,75,2155,16.4,10.0,1,0,0
146,121.0,113,2234,12.5,10.0,0,1,0
147,400.0,190,4422,12.5,20.0,0,0,1
148,156.0,92,2620,14.4,10.0,0,0,1
149,141.0,80,3230,20.4,10.0,0,1,0
150,350.0,165,4274,12.0,20.0,0,0,1
151,350.0,180,4380,12.1,20.0,0,0,1
152,89.0,71,1990,14.9,10.0,0,1,0
153,120.0,97,2489,15.0,10.0,1,0,0
154,250.0,72,3158,19.5,15.0,0,0,1
155,225.0,105,3613,16.5,15.0,0,0,1
156,151.0,90,2556,13.2,10.0,0,0,1
