,displ,hp,weight,accel,size,origin_Asia,origin_Europe,origin_US
352,163.0,125,3140,13.6,15.0,0,1,0
16,79.0,58,1825,18.6,10.0,0,1,0
288,318.0,140,4080,13.7,20.0,0,0,1
281,70.0,97,2330,13.5,7.5,1,0,0
201,68.0,49,1867,19.5,10.0,0,1,0
144,232.0,100,2945,16.0,15.0,0,0,1
283,140.0,72,2408,19.0,10.0,0,0,1
329,134.0,95,2560,14.2,10.0,1,0,0
254,305.0,145,3425,13.2,20.0,0,0,1
154,250.0,72,3158,19.5,15.0,0,0,1
73,429.0,198,4952,11.5,20.0,0,0,1
297,163.0,133,3410,15.8,15.0,0,1,0
273,116.0,81,2220,16.9,10.0,0,1,0
220,318.0,150,3940,13.2,20.0,0,0,1
209,232.0,90,3210,17.2,15.0,0,0,1
243,134.0,90,2711,15.5,10.0,1,0,0
37,302.0,139,3205,11.2,20.0,0,0,1
55,105.0,75,2230,14.5,10.0,0,0,1
361,97.0,78,2300,14.5,10.0,0,1,0
142,231.0,105,3535,19.2,15.0,0,0,1
56,232.0,100,2914,16.0,15.0,0,0,1
115,260.0,110,4060,19.0,20.0,0,0,1
15,307.0,130,4098,14.0,20.0,0,0,1
40,81.0,60,1760,16.1,10.0,1,0,0
336,151.0,90,2735,18.0,10.0,0,0,1
261,350.0,160,4456,13.5,20.0,0,0,1
339,120.0,79,2625,18.6,10.0,0,0,1
102,140.0,89,2755,15.8,10.0,0,0,1
269,250.0,100,3278,18.0,15.0,0,0,1
24,140.0,78,2592,18.5,10.0,0,0,1
203,108.0,70,2245,16.9,10.0,1,0,0
186,168.0,120,3820,16.7,15.0,0,1,0
356,70.0,90,2124,13.5,7.5,1,0,0
298,85.0,70,2070,18.6,10.0,1,0,0
81,79.0,67,2000,16.0,10.0,0,1,0
351,225.0,100,3630,17.7,15.0,0,0,1
376,91.0,69,2130,14.7,10.0,0,1,0
268,360.0,215,4615,14.0,20.0,0,0,1
134,360.0,150,3940,13.0,20.0,0,0,1
307,105.0,63,2125,14.7,10.0,0,0,1
31,304.0,150,3892,12.5,20.0,0,0,1
83,231.0,115,3245,15.4,15.0,0,0,1
255,91.0,68,2025,18.2,10.0,1,0,0
191,121.0,115,2795,15.7,10.0,0,1,0
263,318.0,135,3830,15.2,20.0,0,0,1
66,350.0,145,4055,12.0,20.0,0,0,1
271,350.0,155,4360,14.9,20.0,0,0,1
61,250.0,88,3302,15.5,15.0,0,0,1
245,225.0,110,3360,16.6,15.0,0,0,1
98,258.0,110,2962,13.5,15.0,0,0,1
333,400.0,170,4668,11.5,20.0,0,0,1
128,140.0,90,2408,19.5,10.0,0,0,1
107,350.0,105,3725,19.0,20.0,0,0,1
27,113.0,95,2372,15.0,10.0,1,0,0
153,120.0,97,2489,15.0,10.0,1,0,0
105,90.0,75,2108,15.5,10.0,0,1,0
230,250.0,72,3432,21.0,15.0,0,0,1
114,107.0,90,2430,14.5,10.0,0,1,0
353,116.0,90,2123,14.0,10.0,0,1,0
328,304.0,150,3433,12.0,20.0,0,0,1
279,351.0,149,4335,14.5,20.0,0,0,1
84,135.0,84,2525,16.0,10.0,0,0,1
210,91.0,67,1965,15.7,10.0,1,0,0
371,140.0,88,2890,17.3,10.0,0,0,1
137,90.0,48,2085,21.7,10.0,0,1,0
239,90.0,48,1985,21.5,10.0,0,1,0
259,225.0,105,3121,16.5,15.0,0,0,1
373,267.0,125,3605,15.0,20.0,0,0,1
127,225.0,105,3439,15.5,15.0,0,0,1
130,400.0,175,4464,11.5,20.0,0,0,1
82,141.0,71,3190,24.8,10.0,0,1,0
53,151.0,90,2670,16.0,10.0,0,0,1
340,350.0,165,4209,12.0,20.0,0,0,1
241,85.0,65,2110,19.2,10.0,1,0,0
10,97.0,52,2130,24.6,10.0,0,1,0
126,97.0,46,1835,20.5,10.0,0,1,0
74,146.0,120,2930,13.8,15.0,1,0,0
190,454.0,220,4354,9.0,20.0,0,0,1
221,112.0,88,2605,19.6,10.0,0,0,1
